order_id,customer_id,restaurant_id,city,cuisine_type,customer_segment,order_datetime,order_value,discount_applied,delivery_fee,final_amount,payment_method,preparation_time_min,delivery_time_min,delivery_status,customer_rating,distance_km,rider_id,tip_amount,promo_code_used
ORD000001,CUST2424,REST704,Hyderabad,Indian,New,2025-11-24 03:48:00,725.5,25.31,30.25,730.44,UPI,10,37,Delivered,5,5.42,RID716,5.31,YES
ORD000002,CUST3615,REST814,Hyderabad,Italian,Regular,2025-11-29 23:56:00,668.04,98.41,100.94,670.57,Credit Card,27,63,Delivered,1,19.19,RID444,20.44,NO
ORD000003,CUST3045,REST487,Bengaluru,Desserts,Regular,2025-02-19 12:15:00,1568.76,316.55,92.97,1345.18,Wallet,37,69,Cancelled,5,11.97,RID821,13.91,YES
ORD000004,CUST3664,REST479,Delhi,Chinese,Premium,2025-05-29 02:43:00,2186.24,207.76,65.34,2043.82,Debit Card,37,61,Delayed,3,18.8,RID763,14.28,YES
ORD000005,CUST4598,REST801,Delhi,Indian,New,2025-10-01 08:21:00,1041.72,257.7,84.0,868.02,UPI,15,54,Cancelled,5,8.62,RID167,42.2,NO
ORD000006,CUST5040,REST862,Chennai,Desserts,Regular,2025-04-19 22:22:00,2229.01,358.23,34.29,1905.07,Wallet,25,60,Cancelled,2,18.06,RID508,72.4,YES
ORD000007,CUST2040,REST494,Hyderabad,Desserts,Regular,2025-09-18 16:50:00,2173.59,83.05,36.0,2126.54,Wallet,12,25,Cancelled,4,19.45,RID981,188.49,YES
ORD000008,CUST8433,REST103,Pune,South Indian,Regular,2025-12-16 18:19:00,1956.21,166.36,49.35,1839.2,Wallet,34,61,Delivered,2,10.65,RID208,174.1,NO
ORD000009,CUST1009,REST713,Delhi,Fast Food,New,2025-11-24 17:19:00,509.17,97.06,73.94,486.05,UPI,29,51,Cancelled,5,17.7,RID951,161.35,YES
ORD000010,CUST9727,REST884,Mumbai,Chinese,Premium,2025-01-30 08:13:00,2375.33,50.86,68.6,2393.07,Cash on Delivery,38,84,Delayed,1,4.14,RID640,174.49,NO
ORD000011,CUST8177,REST629,Hyderabad,Indian,New,2025-04-19 18:24:00,1825.43,182.08,87.17,1730.52,Credit Card,34,56,Delivered,3,7.42,RID702,110.78,YES
ORD000012,CUST2160,REST626,Mumbai,Italian,Premium,2025-01-04 02:25:00,288.35,4.86,23.14,306.63,Cash on Delivery,32,82,Delivered,3,11.25,RID840,187.1,NO
ORD000013,CUST7735,REST578,Pune,Indian,Premium,2025-05-05 16:08:00,597.46,14.48,63.11,646.09,UPI,35,71,Delivered,4,8.65,RID447,160.12,YES
ORD000014,CUST2235,REST553,Chennai,Indian,New,2025-05-08 06:32:00,1204.24,127.01,47.85,1125.08,Wallet,16,60,Delivered,2,19.41,RID871,169.74,YES
